date,open,high,low,close,volume,volume.1,market_sentiment,news_sentiment
2024-12-02 17:35:00,96953.24,97061.63,96849.84,97035.04,699,0,,
2024-12-02 17:40:00,97035.04,97280.2,96817.76,97236.31,895,0,,
2024-12-02 17:45:00,97236.66,97304.75,96921.96,96985.0,873,0,,
2024-12-02 17:50:00,96941.9,97205.97,96853.81,97173.19,884,0,,
2024-12-02 17:55:00,97173.19,97304.69,97126.52,97141.31,866,0,,
2024-12-02 18:00:00,97103.81,97279.41,97019.14,97042.1,838,0,,
2024-12-02 18:05:00,97048.1,97461.03,96997.09,97431.81,774,0,,
2024-12-02 18:10:00,97436.31,97468.28,97247.62,97353.58,1082,0,,
2024-12-02 18:15:00,97344.22,97423.48,97037.44,97199.26,785,0,,
2024-12-02 18:20:00,97199.25,97270.92,96848.56,97004.45,800,0,,
2024-12-02 18:25:00,97005.15,97045.85,96659.06,96667.8,976,0,,
2024-12-02 18:30:00,96676.43,96984.16,96647.43,96727.35,984,0,,
2024-12-02 18:35:00,96737.24,96739.24,96325.01,96337.55,916,0,,
2024-12-02 18:40:00,96339.05,96480.72,96068.17,96473.72,1015,0,,
2024-12-02 18:45:00,96469.72,96629.95,96359.37,96364.27,893,0,,
2024-12-02 18:50:00,96364.27,96464.51,96182.82,96449.5,1257,0,,
2024-12-02 18:55:00,96444.23,96497.25,96139.83,96287.34,1295,0,,
2024-12-02 19:00:00,96287.34,96708.93,96218.48,96594.5,1360,0,,
2024-12-02 19:05:00,96594.5,96601.62,96361.9,96470.38,1360,0,,
2024-12-02 19:10:00,96466.21,96555.67,96189.26,96354.22,1444,0,,
2024-12-02 19:15:00,96354.22,96444.45,95709.98,95783.89,1534,0,,
2024-12-02 19:20:00,95783.89,95958.96,95657.01,95818.17,1219,0,,
2024-12-02 19:25:00,95811.83,95870.76,95416.32,95420.75,1350,0,,
2024-12-02 19:30:00,95419.64,95426.98,95245.67,95362.64,1292,0,,
2024-12-02 19:35:00,95345.09,95511.51,95114.48,95186.35,1231,0,,
2024-12-02 19:40:00,95186.35,95530.03,95157.15,95529.03,1388,0,,
2024-12-02 19:45:00,95527.53,95539.43,95235.32,95322.26,1528,0,,
2024-12-02 19:50:00,95321.43,95373.42,95042.31,95078.14,1317,0,,
2024-12-02 19:55:00,95072.33,95189.71,94335.67,94579.01,1159,0,,
2024-12-02 20:00:00,94579.01,95128.17,94471.98,95099.81,1384,0,,
2024-12-02 20:05:00,95089.81,95343.76,95089.81,95315.07,1258,0,,
2024-12-02 20:10:00,95313.72,95443.59,95216.1,95407.48,1164,0,,
2024-12-02 20:15:00,95407.73,95645.94,95274.36,95579.76,1258,0,,
2024-12-02 20:20:00,95579.76,95611.42,95428.69,95601.7,1263,0,,
2024-12-02 20:25:00,95590.87,95647.4,95453.1,95538.24,1243,0,,
2024-12-02 20:30:00,95536.49,95794.57,95402.08,95697.35,865,0,,
2024-12-02 20:35:00,95697.6,95920.7,95657.85,95898.81,580,0,,
2024-12-02 20:40:00,95891.2,95899.2,95756.73,95788.44,605,0,,
2024-12-02 20:45:00,95790.94,95859.01,95608.09,95649.72,838,0,,
2024-12-02 20:50:00,95650.34,95818.95,95619.4,95725.04,637,0,,
2024-12-02 20:55:00,95714.63,95795.38,95669.13,95681.08,529,0,,
2024-12-02 21:00:00,95676.08,95678.86,95490.87,95564.66,554,0,,
2024-12-02 21:05:00,95564.16,95565.33,95426.05,95464.44,459,0,,
2024-12-02 21:10:00,95466.44,95474.54,95251.02,95394.87,579,0,,
2024-12-02 21:15:00,95394.37,95434.53,95181.55,95264.24,756,0,,
2024-12-02 21:20:00,95264.11,95358.86,95193.52,95278.39,1114,0,,
2024-12-02 21:25:00,95282.22,95505.6,95270.73,95487.46,783,0,,
2024-12-02 21:30:00,95486.46,95737.96,95398.86,95715.07,609,0,,
2024-12-02 21:35:00,95715.03,95781.35,95646.15,95733.82,617,0,,
2024-12-02 21:40:00,95736.82,95841.31,95678.6,95719.87,555,0,,
2024-12-02 21:45:00,95718.11,95766.58,95629.07,95738.77,598,0,,
