date,open,high,low,close,volume,volume
2024-11-14 22:15:00,20894.4,20935.5,20893.1,20918.1,2203,0
2024-11-14 22:20:00,20916.1,20926.2,20899.0,20911.3,2071,0
2024-11-14 22:25:00,20911.1,20933.3,20906.9,20916.9,2038,0
2024-11-14 22:30:00,20916.8,20925.6,20881.8,20888.3,2059,0
2024-11-14 22:35:00,20888.6,20910.8,20880.6,20897.1,1827,0
2024-11-14 22:40:00,20897.4,20905.1,20872.0,20882.1,1906,0
2024-11-14 22:45:00,20881.4,20899.9,20865.2,20874.3,1993,0
2024-11-14 22:50:00,20874.4,20914.6,20874.4,20899.7,2070,0
2024-11-14 22:55:00,20899.2,20911.3,20886.6,20904.3,2112,0
2024-11-14 23:00:00,20904.8,20906.4,20878.3,20888.3,1382,0
2024-11-14 23:05:00,20886.9,20893.3,20851.3,20861.1,1114,0
2024-11-14 23:10:00,20861.0,20867.8,20844.7,20844.7,1217,0
2024-11-14 23:15:00,20845.1,20863.0,20844.6,20860.9,800,0
2024-11-14 23:20:00,20860.5,20872.1,20853.3,20854.9,672,0
2024-11-14 23:25:00,20855.4,20863.9,20852.9,20860.7,504,0
2024-11-14 23:30:00,20860.6,20868.5,20856.7,20867.6,472,0
2024-11-14 23:35:00,20867.5,20874.1,20867.5,20871.6,514,0
2024-11-14 23:40:00,20872.4,20878.4,20869.0,20871.6,419,0
2024-11-14 23:45:00,20871.9,20877.5,20869.1,20871.5,464,0
2024-11-14 23:50:00,20871.6,20874.3,20867.9,20872.5,352,0
2024-11-14 23:55:00,20872.0,20874.5,20868.0,20869.5,326,0
2024-11-15 01:00:00,20862.6,20863.0,20846.9,20856.2,293,0
2024-11-15 01:05:00,20856.3,20859.5,20850.6,20850.9,338,0
2024-11-15 01:10:00,20851.1,20855.0,20834.2,20842.4,615,0
2024-11-15 01:15:00,20842.6,20843.2,20832.0,20838.8,419,0
2024-11-15 01:20:00,20838.0,20842.9,20836.9,20841.6,332,0
2024-11-15 01:25:00,20842.1,20843.8,20839.4,20841.4,244,0
2024-11-15 01:30:00,20841.7,20854.8,20837.5,20853.0,374,0
2024-11-15 01:35:00,20852.9,20855.9,20849.3,20853.6,291,0
2024-11-15 01:40:00,20853.9,20853.9,20846.2,20849.6,252,0
2024-11-15 01:45:00,20849.7,20854.8,20841.2,20842.2,416,0
2024-11-15 01:50:00,20842.0,20846.7,20838.4,20839.1,427,0
2024-11-15 01:55:00,20839.2,20847.0,20838.7,20844.8,381,0
2024-11-15 02:00:00,20844.7,20849.8,20839.8,20849.5,625,0
2024-11-15 02:05:00,20850.0,20850.1,20839.0,20843.7,512,0
2024-11-15 02:10:00,20844.1,20850.7,20843.1,20845.9,389,0
2024-11-15 02:15:00,20846.9,20850.9,20845.4,20849.4,443,0
2024-11-15 02:20:00,20849.6,20851.3,20833.2,20841.2,521,0
2024-11-15 02:25:00,20841.3,20842.8,20834.5,20838.8,511,0
2024-11-15 02:30:00,20838.7,20840.3,20823.7,20827.8,676,0
2024-11-15 02:35:00,20827.7,20830.3,20816.9,20820.2,551,0
2024-11-15 02:40:00,20819.8,20823.9,20808.5,20813.4,638,0
2024-11-15 02:45:00,20813.0,20824.1,20812.9,20822.9,539,0
2024-11-15 02:50:00,20823.3,20823.6,20815.0,20819.4,486,0
2024-11-15 02:55:00,20819.5,20824.5,20818.8,20821.7,407,0
2024-11-15 03:00:00,20821.6,20821.6,20811.5,20815.0,632,0
2024-11-15 03:05:00,20814.9,20819.4,20799.0,20800.0,800,0
2024-11-15 03:10:00,20799.9,20804.5,20783.0,20800.0,755,0
2024-11-15 03:15:00,20799.0,20803.3,20793.5,20797.3,683,0
2024-11-15 03:20:00,20797.4,20804.4,20789.3,20789.5,615,0
2024-11-15 03:25:00,20789.3,20793.7,20781.0,20793.5,726,0
2024-11-15 03:30:00,20793.6,20796.6,20785.7,20791.3,803,0
2024-11-15 03:35:00,20790.8,20797.1,20785.1,20795.0,723,0
2024-11-15 03:40:00,20794.6,20795.7,20778.9,20785.0,784,0
2024-11-15 03:45:00,20784.8,20792.3,20783.0,20787.6,667,0
2024-11-15 03:50:00,20787.3,20788.8,20782.6,20788.6,567,0
2024-11-15 03:55:00,20788.7,20793.2,20782.3,20786.3,620,0
