date,open,high,low,close,volume,volume
2024-11-15 20:15:00,2562.17,2563.16,2562.03,2562.26,896,0
2024-11-15 20:20:00,2562.3,2565.42,2562.25,2564.92,1092,0
2024-11-15 20:25:00,2564.89,2566.47,2564.6,2565.57,1355,0
2024-11-15 20:30:00,2565.59,2565.82,2563.86,2564.13,842,0
2024-11-15 20:35:00,2564.13,2564.99,2563.93,2564.89,622,0
2024-11-15 20:40:00,2564.9,2566.17,2564.59,2565.7,844,0
2024-11-15 20:45:00,2565.67,2566.44,2565.44,2566.33,767,0
2024-11-15 20:50:00,2566.34,2567.71,2566.11,2567.25,1118,0
2024-11-15 20:55:00,2567.24,2567.56,2566.6,2567.5,818,0
2024-11-15 21:00:00,2567.5,2567.99,2566.51,2567.09,535,0
2024-11-15 21:05:00,2567.08,2567.99,2567.02,2567.15,402,0
2024-11-15 21:10:00,2567.15,2567.29,2566.18,2566.49,473,0
2024-11-15 21:15:00,2566.49,2567.14,2565.64,2565.89,349,0
2024-11-15 21:20:00,2565.9,2565.9,2565.09,2565.33,389,0
2024-11-15 21:25:00,2565.3,2565.68,2564.83,2564.99,331,0
2024-11-15 21:30:00,2564.99,2565.29,2562.88,2562.95,371,0
2024-11-15 21:35:00,2562.95,2563.78,2562.66,2563.7,500,0
2024-11-15 21:40:00,2563.7,2564.71,2563.29,2563.3,433,0
2024-11-15 21:45:00,2563.33,2563.54,2562.91,2563.34,417,0
2024-11-15 21:50:00,2563.34,2564.67,2563.22,2564.15,574,0
2024-11-15 21:55:00,2564.15,2564.23,2563.2,2563.74,751,0
2024-11-15 22:00:00,2563.74,2563.83,2561.94,2562.68,640,0
2024-11-15 22:05:00,2562.64,2562.76,2561.7,2562.3,627,0
2024-11-15 22:10:00,2562.3,2562.68,2561.69,2562.13,314,0
2024-11-15 22:15:00,2562.13,2562.28,2561.09,2561.56,396,0
2024-11-15 22:20:00,2561.56,2562.13,2560.54,2560.63,467,0
2024-11-15 22:25:00,2560.58,2561.07,2559.69,2560.59,377,0
2024-11-15 22:30:00,2560.59,2561.47,2559.85,2561.41,371,0
2024-11-15 22:35:00,2561.43,2561.97,2560.97,2561.12,353,0
2024-11-15 22:40:00,2561.12,2562.92,2561.05,2562.87,467,0
2024-11-15 22:45:00,2562.87,2563.8,2562.56,2562.77,403,0
2024-11-15 22:50:00,2562.77,2563.77,2562.56,2563.66,445,0
2024-11-15 22:55:00,2563.66,2563.86,2561.94,2562.18,589,0
2024-11-15 23:00:00,2562.15,2562.31,2561.79,2561.98,237,0
2024-11-15 23:05:00,2561.97,2562.34,2561.94,2562.24,128,0
2024-11-15 23:10:00,2562.2,2562.29,2562.1,2562.25,105,0
2024-11-15 23:15:00,2562.26,2562.3,2561.86,2562.11,140,0
2024-11-15 23:20:00,2562.11,2562.26,2561.95,2562.14,128,0
2024-11-15 23:25:00,2562.13,2562.32,2561.47,2561.66,132,0
2024-11-15 23:30:00,2561.65,2561.77,2561.39,2561.55,158,0
2024-11-15 23:35:00,2561.56,2561.65,2561.08,2561.56,189,0
2024-11-15 23:40:00,2561.55,2561.61,2561.14,2561.41,133,0
2024-11-15 23:45:00,2561.39,2561.56,2561.07,2561.47,186,0
2024-11-15 23:50:00,2561.49,2561.77,2561.33,2561.62,209,0
2024-11-15 23:55:00,2561.56,2563.4,2561.48,2562.72,204,0
2024-11-18 01:00:00,2563.39,2568.43,2562.9,2567.44,522,0
2024-11-18 01:05:00,2567.46,2570.87,2567.46,2570.59,472,0
2024-11-18 01:10:00,2570.59,2573.53,2570.22,2573.13,510,0
2024-11-18 01:15:00,2573.26,2573.27,2571.3,2572.28,328,0
2024-11-18 01:20:00,2572.27,2575.4,2571.7,2575.38,614,0
2024-11-18 01:25:00,2575.39,2575.39,2572.87,2573.87,291,0
2024-11-18 01:30:00,2573.86,2573.95,2572.16,2573.06,503,0
2024-11-18 01:35:00,2573.06,2575.03,2572.83,2574.95,397,0
2024-11-18 01:40:00,2574.92,2575.02,2573.48,2574.19,264,0
2024-11-18 01:45:00,2574.17,2574.49,2573.07,2573.18,260,0
2024-11-18 01:50:00,2573.15,2573.8,2572.75,2573.05,257,0
2024-11-18 01:55:00,2573.05,2573.06,2570.26,2571.34,505,0
2024-11-18 02:00:00,2571.26,2572.08,2570.41,2571.44,574,0
2024-11-18 02:05:00,2571.47,2573.27,2571.28,2571.48,528,0
2024-11-18 02:10:00,2571.47,2572.9,2571.21,2571.79,394,0
2024-11-18 02:15:00,2571.81,2572.28,2570.97,2571.12,703,0
2024-11-18 02:20:00,2571.12,2571.29,2570.32,2571.0,534,0
2024-11-18 02:25:00,2571.03,2571.35,2569.74,2571.08,430,0
2024-11-18 02:30:00,2571.1,2572.13,2571.03,2571.13,253,0
2024-11-18 02:35:00,2571.15,2571.85,2571.13,2571.13,271,0
2024-11-18 02:40:00,2571.13,2573.0,2570.73,2572.99,286,0
2024-11-18 02:45:00,2573.01,2574.58,2572.44,2574.48,355,0
2024-11-18 02:50:00,2574.56,2577.07,2573.82,2576.52,530,0
2024-11-18 02:55:00,2576.58,2576.73,2575.83,2576.39,638,0
2024-11-18 03:00:00,2576.38,2581.06,2576.37,2580.7,1457,0
2024-11-18 03:05:00,2580.72,2580.72,2577.66,2577.75,1483,0
2024-11-18 03:10:00,2577.68,2580.7,2577.01,2580.07,979,0
2024-11-18 03:15:00,2580.06,2581.79,2579.52,2581.31,1404,0
2024-11-18 03:20:00,2581.39,2589.76,2581.01,2589.71,1713,0
2024-11-18 03:25:00,2589.74,2593.84,2589.28,2593.82,1394,0
2024-11-18 03:30:00,2593.81,2597.16,2590.9,2596.37,1630,0
2024-11-18 03:35:00,2596.37,2597.09,2593.44,2594.18,1240,0
2024-11-18 03:40:00,2594.24,2594.5,2590.44,2591.0,1134,0
2024-11-18 03:45:00,2591.0,2591.03,2585.09,2588.08,1171,0
2024-11-18 03:50:00,2588.03,2588.77,2586.22,2588.71,1003,0
2024-11-18 03:55:00,2588.71,2588.77,2585.29,2586.97,1095,0
