time,open,high,low,close,volume
2025-06-10 18:55:00,1.14209,1.14209,1.14199,1.14203,42
2025-06-10 18:56:00,1.14204,1.1421000000000001,1.14195,1.14199,41
2025-06-10 18:57:00,1.14199,1.14207,1.14191,1.14203,45
2025-06-10 18:58:00,1.14202,1.14213,1.14202,1.1421000000000001,34
2025-06-10 18:59:00,1.1421000000000001,1.14222,1.14209,1.14222,35
2025-06-10 19:00:00,1.14221,1.14233,1.14216,1.14232,70
2025-06-10 19:01:00,1.14232,1.14233,1.14224,1.14226,39
2025-06-10 19:02:00,1.14227,1.1424400000000001,1.14224,1.1424400000000001,34
2025-06-10 19:03:00,1.1424400000000001,1.14261,1.14239,1.14261,67
2025-06-10 19:04:00,1.1426,1.1426,1.14255,1.14259,22
2025-06-10 19:05:00,1.14259,1.14263,1.14245,1.14245,34
2025-06-10 19:06:00,1.14245,1.14245,1.14236,1.14237,32
2025-06-10 19:07:00,1.14237,1.14237,1.14201,1.14202,44
2025-06-10 19:08:00,1.14202,1.14221,1.14202,1.14215,38
2025-06-10 19:09:00,1.14216,1.14223,1.14198,1.14198,40
2025-06-10 19:10:00,1.14197,1.14197,1.14172,1.14177,65
2025-06-10 19:11:00,1.14178,1.14188,1.14178,1.14187,27
2025-06-10 19:12:00,1.14188,1.14214,1.14188,1.1421000000000001,46
2025-06-10 19:13:00,1.1421000000000001,1.1423,1.14209,1.14228,56
2025-06-10 19:14:00,1.14228,1.14238,1.14227,1.14229,28
2025-06-10 19:15:00,1.14228,1.14228,1.14212,1.14213,33
2025-06-10 19:16:00,1.14209,1.14209,1.14191,1.14193,32
2025-06-10 19:17:00,1.14192,1.14192,1.14181,1.14182,34
2025-06-10 19:18:00,1.14182,1.14202,1.14178,1.14198,43
2025-06-10 19:19:00,1.14201,1.14201,1.14188,1.14191,50
2025-06-10 19:20:00,1.1419,1.14194,1.14182,1.14193,54
2025-06-10 19:21:00,1.14194,1.14195,1.1418300000000001,1.14185,48
2025-06-10 19:22:00,1.14185,1.14193,1.1418300000000001,1.14188,51
2025-06-10 19:23:00,1.14187,1.14194,1.14187,1.14188,44
2025-06-10 19:24:00,1.14187,1.1419,1.14181,1.1418300000000001,32
2025-06-10 19:25:00,1.1418300000000001,1.14203,1.1418300000000001,1.14193,31
2025-06-10 19:26:00,1.14193,1.14194,1.14179,1.14188,39
2025-06-10 19:27:00,1.14188,1.14198,1.14188,1.14188,60
2025-06-10 19:28:00,1.14189,1.14193,1.14178,1.14179,67
2025-06-10 19:29:00,1.14179,1.14188,1.14177,1.14185,47
2025-06-10 19:30:00,1.14186,1.14188,1.14173,1.14174,40
2025-06-10 19:31:00,1.14174,1.14174,1.14155,1.14165,31
2025-06-10 19:32:00,1.14166,1.1417,1.14163,1.14167,17
2025-06-10 19:33:00,1.14167,1.14188,1.14167,1.14178,45
2025-06-10 19:34:00,1.14179,1.14185,1.14175,1.14185,18
2025-06-10 19:35:00,1.14187,1.14196,1.14182,1.14196,25
2025-06-10 19:36:00,1.14196,1.14196,1.14184,1.14185,12
2025-06-10 19:37:00,1.14185,1.14194,1.14185,1.14193,19
2025-06-10 19:38:00,1.14192,1.14203,1.14189,1.14193,19
2025-06-10 19:39:00,1.14193,1.14202,1.1419,1.142,27
2025-06-10 19:40:00,1.142,1.14202,1.14196,1.14199,12
2025-06-10 19:41:00,1.14198,1.14198,1.14193,1.14198,17
2025-06-10 19:42:00,1.14198,1.14201,1.14192,1.14198,21
2025-06-10 19:43:00,1.14198,1.142,1.14197,1.142,5
2025-06-10 19:44:00,1.14195,1.142,1.14194,1.142,6
2025-06-10 19:45:00,1.142,1.14202,1.14186,1.14188,16
2025-06-10 19:46:00,1.14188,1.14192,1.14186,1.14192,12
2025-06-10 19:47:00,1.14192,1.14202,1.14189,1.14199,32
2025-06-10 19:48:00,1.14199,1.14201,1.14199,1.142,4
2025-06-10 19:49:00,1.142,1.142,1.14192,1.14194,9
2025-06-10 19:50:00,1.14194,1.14228,1.14194,1.14228,50
2025-06-10 19:51:00,1.14227,1.14241,1.14226,1.1423,32
2025-06-10 19:52:00,1.14231,1.14234,1.14231,1.14233,15
2025-06-10 19:53:00,1.14232,1.14236,1.1421999999999999,1.14236,22
2025-06-10 19:54:00,1.14236,1.14236,1.14228,1.14231,24
2025-06-10 19:55:00,1.1423,1.14237,1.1421999999999999,1.14234,40
2025-06-10 19:56:00,1.14234,1.14234,1.14225,1.14229,22
2025-06-10 19:57:00,1.14229,1.1423,1.14216,1.14223,39
2025-06-10 19:58:00,1.14224,1.14237,1.14221,1.14231,62
2025-06-10 19:59:00,1.14231,1.14232,1.14223,1.14232,38
2025-06-10 20:00:00,1.14232,1.14243,1.14231,1.14231,31
2025-06-10 20:01:00,1.1423,1.14231,1.14224,1.14226,20
2025-06-10 20:02:00,1.14226,1.14234,1.14218,1.14232,48
2025-06-10 20:03:00,1.14233,1.14243,1.14231,1.14235,28
2025-06-10 20:04:00,1.14236,1.14241,1.14225,1.14225,56
2025-06-10 20:05:00,1.14225,1.14228,1.14218,1.14225,37
2025-06-10 20:06:00,1.14226,1.14232,1.14216,1.14222,42
2025-06-10 20:07:00,1.14222,1.14222,1.14213,1.14216,35
2025-06-10 20:08:00,1.14214,1.14217,1.14213,1.14215,19
2025-06-10 20:09:00,1.14213,1.14214,1.1421000000000001,1.14214,17
2025-06-10 20:10:00,1.14214,1.14228,1.14212,1.14228,27
2025-06-10 20:11:00,1.14228,1.14236,1.14227,1.14234,27
2025-06-10 20:12:00,1.14233,1.14233,1.14223,1.14223,18
2025-06-10 20:13:00,1.14223,1.14223,1.14209,1.14209,26
2025-06-10 20:14:00,1.14206,1.14213,1.14199,1.14213,40
2025-06-10 20:15:00,1.14213,1.14214,1.14208,1.14208,13
2025-06-10 20:16:00,1.14208,1.14219,1.14202,1.14206,32
2025-06-10 20:17:00,1.14206,1.14206,1.14192,1.14193,27
2025-06-10 20:18:00,1.14194,1.14194,1.1418300000000001,1.14184,36
2025-06-10 20:19:00,1.1418300000000001,1.14184,1.14174,1.14179,22
2025-06-10 20:20:00,1.14179,1.142,1.14172,1.14178,67
2025-06-10 20:21:00,1.14178,1.14178,1.14172,1.14174,14
2025-06-10 20:22:00,1.14173,1.14189,1.14173,1.14182,42
2025-06-10 20:23:00,1.14182,1.14186,1.14172,1.14174,24
2025-06-10 20:24:00,1.14174,1.1418300000000001,1.14168,1.14179,32
2025-06-10 20:25:00,1.14178,1.14189,1.14178,1.14189,26
2025-06-10 20:26:00,1.14189,1.14204,1.14189,1.14203,34
2025-06-10 20:27:00,1.14203,1.14203,1.14189,1.14189,30
2025-06-10 20:28:00,1.14188,1.14192,1.14186,1.14192,37
2025-06-10 20:29:00,1.14189,1.14195,1.14188,1.14193,20
2025-06-10 20:30:00,1.14192,1.14193,1.14181,1.14191,34
2025-06-10 20:31:00,1.1419,1.14192,1.14185,1.14189,26
2025-06-10 20:32:00,1.14187,1.14193,1.14184,1.14193,18
2025-06-10 20:33:00,1.14193,1.14194,1.1419,1.14194,10
2025-06-10 20:34:00,1.14193,1.14213,1.14192,1.14213,24
2025-06-10 20:35:00,1.14212,1.14223,1.14212,1.14223,19
2025-06-10 20:36:00,1.14226,1.14232,1.14212,1.14215,38
2025-06-10 20:37:00,1.14215,1.14219,1.14212,1.14219,17
2025-06-10 20:38:00,1.14219,1.14219,1.1421000000000001,1.14213,41
2025-06-10 20:39:00,1.14212,1.14222,1.14212,1.14219,25
2025-06-10 20:40:00,1.14219,1.1421999999999999,1.14213,1.1421999999999999,27
2025-06-10 20:41:00,1.14221,1.14228,1.14219,1.14228,15
2025-06-10 20:42:00,1.14229,1.14243,1.14229,1.14243,51
2025-06-10 20:43:00,1.14243,1.1426,1.14242,1.14255,30
2025-06-10 20:44:00,1.14255,1.14263,1.14253,1.14258,24
2025-06-10 20:45:00,1.14258,1.1426,1.14247,1.14247,30
2025-06-10 20:46:00,1.14248,1.14263,1.14247,1.14259,39
2025-06-10 20:47:00,1.14259,1.14263,1.14253,1.14258,37
2025-06-10 20:48:00,1.14258,1.14273,1.14258,1.14272,33
2025-06-10 20:49:00,1.14272,1.14278,1.14272,1.14272,27
