date,open,high,low,close,volume,volume
2024-11-14 22:00:00,5966.4,5966.4,5950.9,5953.4,671,0
2024-11-14 22:05:00,5953.7,5955.2,5945.2,5949.4,653,0
2024-11-14 22:10:00,5949.7,5954.2,5946.4,5949.4,595,0
2024-11-14 22:15:00,5949.2,5960.2,5949.2,5956.9,579,0
2024-11-14 22:20:00,5956.4,5958.2,5952.2,5954.9,477,0
2024-11-14 22:25:00,5955.2,5960.0,5953.7,5956.5,408,0
2024-11-14 22:30:00,5956.7,5958.7,5948.2,5949.7,502,0
2024-11-14 22:35:00,5949.9,5954.4,5948.4,5951.0,375,0
2024-11-14 22:40:00,5951.5,5952.5,5945.5,5947.0,397,0
2024-11-14 22:45:00,5946.7,5950.2,5941.9,5943.9,440,0
2024-11-14 22:50:00,5944.2,5952.4,5944.2,5949.2,457,0
2024-11-14 22:55:00,5948.9,5953.7,5946.2,5950.7,488,0
2024-11-14 23:00:00,5950.2,5950.7,5945.9,5948.4,229,0
2024-11-14 23:05:00,5948.2,5948.9,5937.7,5940.4,160,0
2024-11-14 23:10:00,5940.7,5942.4,5937.7,5937.7,171,0
2024-11-14 23:15:00,5937.7,5942.2,5937.4,5941.8,128,0
2024-11-14 23:20:00,5941.7,5944.7,5941.4,5941.7,123,0
2024-11-14 23:25:00,5941.9,5943.7,5941.4,5943.3,70,0
2024-11-14 23:30:00,5943.5,5945.3,5943.0,5945.0,76,0
2024-11-14 23:35:00,5945.2,5946.5,5945.0,5945.7,86,0
2024-11-14 23:40:00,5946.0,5947.1,5945.2,5946.3,77,0
2024-11-14 23:45:00,5946.0,5947.4,5946.0,5946.3,74,0
2024-11-14 23:50:00,5946.5,5947.3,5946.3,5947.0,64,0
2024-11-14 23:55:00,5947.3,5947.6,5945.8,5946.3,65,0
2024-11-15 01:00:00,5944.6,5945.0,5942.1,5943.6,122,0
2024-11-15 01:05:00,5943.3,5944.0,5941.8,5941.9,102,0
2024-11-15 01:10:00,5942.3,5942.8,5938.5,5939.7,127,0
2024-11-15 01:15:00,5939.5,5940.0,5938.0,5939.2,116,0
2024-11-15 01:20:00,5939.0,5940.1,5939.0,5939.3,92,0
2024-11-15 01:25:00,5939.6,5940.1,5939.1,5939.5,55,0
2024-11-15 01:30:00,5939.6,5942.7,5939.3,5942.3,52,0
2024-11-15 01:35:00,5942.6,5942.8,5941.6,5942.5,46,0
2024-11-15 01:40:00,5942.6,5942.6,5941.4,5942.1,46,0
2024-11-15 01:45:00,5942.4,5943.4,5939.7,5940.0,114,0
2024-11-15 01:50:00,5939.9,5941.2,5939.5,5939.8,75,0
2024-11-15 01:55:00,5940.1,5941.5,5940.0,5940.8,108,0
2024-11-15 02:00:00,5940.5,5941.1,5939.4,5940.9,153,0
2024-11-15 02:05:00,5941.0,5941.0,5939.0,5940.0,94,0
2024-11-15 02:10:00,5939.8,5941.0,5939.8,5940.3,90,0
2024-11-15 02:15:00,5940.6,5941.6,5940.1,5940.8,117,0
2024-11-15 02:20:00,5940.7,5941.0,5937.2,5939.5,106,0
2024-11-15 02:25:00,5939.7,5939.7,5937.2,5938.5,116,0
2024-11-15 02:30:00,5938.4,5939.2,5936.2,5937.7,128,0
2024-11-15 02:35:00,5937.8,5937.9,5934.5,5935.0,103,0
2024-11-15 02:40:00,5934.7,5936.0,5932.4,5933.2,115,0
2024-11-15 02:45:00,5932.9,5935.5,5932.9,5935.3,90,0
2024-11-15 02:50:00,5935.5,5935.8,5934.0,5934.8,74,0
2024-11-15 02:55:00,5934.6,5936.1,5934.3,5935.6,64,0
2024-11-15 03:00:00,5935.2,5935.6,5933.3,5934.2,127,0
2024-11-15 03:05:00,5934.5,5935.2,5931.4,5931.7,136,0
2024-11-15 03:10:00,5931.9,5932.8,5929.2,5931.4,136,0
2024-11-15 03:15:00,5931.2,5932.2,5930.2,5931.2,132,0
